2025-04-03 08:30:59,806 - LOG - INFO - =======Option used=======
2025-04-03 08:32:49,320 - LOG - INFO - Epoch: 0 最高PSNR: 0.0000000
2025-04-03 08:34:45,260 - LOG - INFO - =======Option used=======
2025-04-03 08:41:03,302 - LOG - INFO - =======Option used=======
2025-04-03 11:43:06,354 - LOG - INFO - Epoch: 86/1000 average psnr: 47.9878296  bestpsnr: 48.0075253, bestepoch: 84
2025-04-03 11:47:10,939 - LOG - INFO - Epoch: 88/1000 average psnr: 48.0204182  bestpsnr: 48.0204182, bestepoch: 88
2025-04-03 11:51:28,894 - LOG - INFO - Epoch: 90/1000 average psnr: 47.9051598  bestpsnr: 48.0204182, bestepoch: 88
2025-04-03 11:55:36,682 - LOG - INFO - Epoch: 92/1000 average psnr: 47.9589222  bestpsnr: 48.0204182, bestepoch: 88
2025-04-03 11:59:37,740 - LOG - INFO - Epoch: 94/1000 average psnr: 47.9718586  bestpsnr: 48.0204182, bestepoch: 88
2025-04-03 12:03:45,950 - LOG - INFO - Epoch: 96/1000 average psnr: 48.0303070  bestpsnr: 48.0303070, bestepoch: 96
2025-04-03 12:07:58,296 - LOG - INFO - Epoch: 98/1000 average psnr: 47.9743591  bestpsnr: 48.0303070, bestepoch: 96
2025-04-03 12:12:14,035 - LOG - INFO - Epoch: 100/1000 average psnr: 47.7218498  bestpsnr: 48.0303070, bestepoch: 96
2025-04-03 12:16:23,390 - LOG - INFO - Epoch: 102/1000 average psnr: 47.8688366  bestpsnr: 48.0303070, bestepoch: 96
2025-04-03 12:20:31,378 - LOG - INFO - Epoch: 104/1000 average psnr: 48.1038002  bestpsnr: 48.1038002, bestepoch: 104
2025-04-03 12:24:42,188 - LOG - INFO - Epoch: 106/1000 average psnr: 48.1410763  bestpsnr: 48.1410763, bestepoch: 106
2025-04-03 12:28:51,631 - LOG - INFO - Epoch: 108/1000 average psnr: 48.0973736  bestpsnr: 48.1410763, bestepoch: 106
2025-04-03 12:33:02,738 - LOG - INFO - Epoch: 110/1000 average psnr: 47.9428799  bestpsnr: 48.1410763, bestepoch: 106
2025-04-03 12:37:07,625 - LOG - INFO - Epoch: 112/1000 average psnr: 48.1414227  bestpsnr: 48.1414227, bestepoch: 112
2025-04-03 12:41:16,190 - LOG - INFO - Epoch: 114/1000 average psnr: 48.0996052  bestpsnr: 48.1414227, bestepoch: 112
2025-04-03 12:45:29,970 - LOG - INFO - Epoch: 116/1000 average psnr: 47.9485737  bestpsnr: 48.1414227, bestepoch: 112
2025-04-03 12:49:44,213 - LOG - INFO - Epoch: 118/1000 average psnr: 48.1120945  bestpsnr: 48.1414227, bestepoch: 112
2025-04-03 12:53:55,815 - LOG - INFO - Epoch: 120/1000 average psnr: 48.0582672  bestpsnr: 48.1414227, bestepoch: 112
2025-04-03 12:57:56,523 - LOG - INFO - Epoch: 122/1000 average psnr: 48.1625671  bestpsnr: 48.1625671, bestepoch: 122
2025-04-03 13:01:59,131 - LOG - INFO - Epoch: 124/1000 average psnr: 48.1991886  bestpsnr: 48.1991886, bestepoch: 124
2025-04-03 13:06:01,570 - LOG - INFO - Epoch: 126/1000 average psnr: 48.1349808  bestpsnr: 48.1991886, bestepoch: 124
2025-04-03 13:10:04,141 - LOG - INFO - Epoch: 128/1000 average psnr: 48.1951199  bestpsnr: 48.1991886, bestepoch: 124
2025-04-03 13:14:15,008 - LOG - INFO - Epoch: 130/1000 average psnr: 48.1880215  bestpsnr: 48.1991886, bestepoch: 124
2025-04-03 13:18:50,870 - LOG - INFO - Epoch: 132/1000 average psnr: 48.0690140  bestpsnr: 48.1991886, bestepoch: 124
2025-04-03 13:22:53,482 - LOG - INFO - Epoch: 134/1000 average psnr: 48.1003403  bestpsnr: 48.1991886, bestepoch: 124
2025-04-03 13:26:58,531 - LOG - INFO - Epoch: 136/1000 average psnr: 48.0975128  bestpsnr: 48.1991886, bestepoch: 124
2025-04-03 13:31:04,007 - LOG - INFO - Epoch: 138/1000 average psnr: 48.1961483  bestpsnr: 48.1991886, bestepoch: 124
2025-04-03 13:35:10,246 - LOG - INFO - Epoch: 140/1000 average psnr: 47.8138306  bestpsnr: 48.1991886, bestepoch: 124
2025-04-03 13:39:18,982 - LOG - INFO - Epoch: 142/1000 average psnr: 48.1116055  bestpsnr: 48.1991886, bestepoch: 124
2025-04-03 13:43:27,077 - LOG - INFO - Epoch: 144/1000 average psnr: 48.1764374  bestpsnr: 48.1991886, bestepoch: 124
2025-04-03 13:47:37,537 - LOG - INFO - Epoch: 146/1000 average psnr: 48.0937599  bestpsnr: 48.1991886, bestepoch: 124
2025-04-03 13:51:44,340 - LOG - INFO - Epoch: 148/1000 average psnr: 48.0875069  bestpsnr: 48.1991886, bestepoch: 124
2025-04-03 13:55:48,893 - LOG - INFO - Epoch: 150/1000 average psnr: 48.1271976  bestpsnr: 48.1991886, bestepoch: 124
2025-04-03 13:59:51,702 - LOG - INFO - Epoch: 152/1000 average psnr: 48.1140388  bestpsnr: 48.1991886, bestepoch: 124
2025-04-03 14:03:57,373 - LOG - INFO - Epoch: 154/1000 average psnr: 48.0481930  bestpsnr: 48.1991886, bestepoch: 124
2025-04-03 14:08:03,235 - LOG - INFO - Epoch: 156/1000 average psnr: 47.9419182  bestpsnr: 48.1991886, bestepoch: 124
2025-04-03 14:12:07,981 - LOG - INFO - Epoch: 158/1000 average psnr: 48.1571980  bestpsnr: 48.1991886, bestepoch: 124
2025-04-03 14:16:13,657 - LOG - INFO - Epoch: 160/1000 average psnr: 48.1576599  bestpsnr: 48.1991886, bestepoch: 124
2025-04-03 14:20:20,309 - LOG - INFO - Epoch: 162/1000 average psnr: 48.1881214  bestpsnr: 48.1991886, bestepoch: 124
2025-04-03 14:24:25,004 - LOG - INFO - Epoch: 164/1000 average psnr: 48.0430542  bestpsnr: 48.1991886, bestepoch: 124
2025-04-03 14:28:32,769 - LOG - INFO - Epoch: 166/1000 average psnr: 48.2295147  bestpsnr: 48.2295147, bestepoch: 166
2025-04-03 14:32:46,098 - LOG - INFO - Epoch: 168/1000 average psnr: 48.0988392  bestpsnr: 48.2295147, bestepoch: 166
2025-04-03 14:36:55,390 - LOG - INFO - Epoch: 170/1000 average psnr: 48.0018734  bestpsnr: 48.2295147, bestepoch: 166
2025-04-03 14:41:02,606 - LOG - INFO - Epoch: 172/1000 average psnr: 48.1301136  bestpsnr: 48.2295147, bestepoch: 166
2025-04-03 14:45:10,163 - LOG - INFO - Epoch: 174/1000 average psnr: 48.1103523  bestpsnr: 48.2295147, bestepoch: 166
2025-04-03 14:49:19,781 - LOG - INFO - Epoch: 176/1000 average psnr: 48.1049042  bestpsnr: 48.2295147, bestepoch: 166
2025-04-03 14:53:25,338 - LOG - INFO - Epoch: 178/1000 average psnr: 48.1230095  bestpsnr: 48.2295147, bestepoch: 166
2025-04-03 14:57:31,441 - LOG - INFO - Epoch: 180/1000 average psnr: 47.9058220  bestpsnr: 48.2295147, bestepoch: 166
2025-04-03 15:01:37,809 - LOG - INFO - Epoch: 182/1000 average psnr: 48.3027023  bestpsnr: 48.3027023, bestepoch: 182
2025-04-03 15:05:45,594 - LOG - INFO - Epoch: 184/1000 average psnr: 47.9849804  bestpsnr: 48.3027023, bestepoch: 182
2025-04-03 15:09:53,904 - LOG - INFO - Epoch: 186/1000 average psnr: 48.1501389  bestpsnr: 48.3027023, bestepoch: 182
2025-04-03 15:13:57,848 - LOG - INFO - Epoch: 188/1000 average psnr: 47.9684330  bestpsnr: 48.3027023, bestepoch: 182
2025-04-03 15:18:06,143 - LOG - INFO - Epoch: 190/1000 average psnr: 48.0766819  bestpsnr: 48.3027023, bestepoch: 182
2025-04-03 15:22:12,118 - LOG - INFO - Epoch: 192/1000 average psnr: 48.2149754  bestpsnr: 48.3027023, bestepoch: 182
2025-04-03 15:26:27,518 - LOG - INFO - Epoch: 194/1000 average psnr: 48.1874229  bestpsnr: 48.3027023, bestepoch: 182
2025-04-03 15:30:45,145 - LOG - INFO - Epoch: 196/1000 average psnr: 48.0665493  bestpsnr: 48.3027023, bestepoch: 182
2025-04-03 15:35:03,453 - LOG - INFO - Epoch: 198/1000 average psnr: 48.1937202  bestpsnr: 48.3027023, bestepoch: 182
2025-04-03 15:39:14,367 - LOG - INFO - Epoch: 200/1000 average psnr: 48.1022274  bestpsnr: 48.3027023, bestepoch: 182
2025-04-03 15:43:34,033 - LOG - INFO - Epoch: 202/1000 average psnr: 48.1182095  bestpsnr: 48.3027023, bestepoch: 182
2025-04-03 15:47:43,954 - LOG - INFO - Epoch: 204/1000 average psnr: 48.2538319  bestpsnr: 48.3027023, bestepoch: 182
2025-04-03 15:51:59,718 - LOG - INFO - Epoch: 206/1000 average psnr: 48.1518482  bestpsnr: 48.3027023, bestepoch: 182
2025-04-03 15:56:13,960 - LOG - INFO - Epoch: 208/1000 average psnr: 48.1269135  bestpsnr: 48.3027023, bestepoch: 182
