2025-03-28 09:00:36,175 - LOG - INFO - =======Option used=======
2025-03-28 12:31:37,639 - LOG - INFO - Epoch: 90/500 average psnr: 48.0648449  bestpsnr: 48.5612148, bestepoch: 38
2025-03-28 12:36:17,918 - LOG - INFO - Epoch: 92/500 average psnr: 48.1021626  bestpsnr: 48.5612148, bestepoch: 38
2025-03-28 12:40:56,873 - LOG - INFO - Epoch: 94/500 average psnr: 48.1228306  bestpsnr: 48.5612148, bestepoch: 38
2025-03-28 12:45:36,211 - LOG - INFO - Epoch: 96/500 average psnr: 48.0892910  bestpsnr: 48.5612148, bestepoch: 38
2025-03-28 12:50:15,645 - LOG - INFO - Epoch: 98/500 average psnr: 48.1103153  bestpsnr: 48.5612148, bestepoch: 38
2025-03-28 12:54:52,936 - LOG - INFO - Epoch: 100/500 average psnr: 48.1378407  bestpsnr: 48.5612148, bestepoch: 38
2025-03-28 12:59:31,562 - LOG - INFO - Epoch: 102/500 average psnr: 48.1323616  bestpsnr: 48.5612148, bestepoch: 38
2025-03-28 13:04:10,674 - LOG - INFO - Epoch: 104/500 average psnr: 48.1748924  bestpsnr: 48.5612148, bestepoch: 38
2025-03-28 13:08:51,582 - LOG - INFO - Epoch: 106/500 average psnr: 48.2092480  bestpsnr: 48.5612148, bestepoch: 38
2025-03-28 13:13:31,292 - LOG - INFO - Epoch: 108/500 average psnr: 48.2442699  bestpsnr: 48.5612148, bestepoch: 38
2025-03-28 13:18:09,981 - LOG - INFO - Epoch: 110/500 average psnr: 48.1638653  bestpsnr: 48.5612148, bestepoch: 38
2025-03-28 13:22:46,191 - LOG - INFO - Epoch: 112/500 average psnr: 48.2176552  bestpsnr: 48.5612148, bestepoch: 38
2025-03-28 13:27:17,681 - LOG - INFO - Epoch: 114/500 average psnr: 48.2392220  bestpsnr: 48.5612148, bestepoch: 38
2025-03-28 13:31:49,905 - LOG - INFO - Epoch: 116/500 average psnr: 48.1666523  bestpsnr: 48.5612148, bestepoch: 38
2025-03-28 13:36:24,670 - LOG - INFO - Epoch: 118/500 average psnr: 48.1588398  bestpsnr: 48.5612148, bestepoch: 38
2025-03-28 13:40:57,935 - LOG - INFO - Epoch: 120/500 average psnr: 47.8341232  bestpsnr: 48.5612148, bestepoch: 38
2025-03-28 13:45:32,755 - LOG - INFO - Epoch: 122/500 average psnr: 48.2863087  bestpsnr: 48.5612148, bestepoch: 38
2025-03-28 13:50:09,714 - LOG - INFO - Epoch: 124/500 average psnr: 48.2365585  bestpsnr: 48.5612148, bestepoch: 38
