2025-04-02 16:33:16,818 - LOG - INFO - Epoch: 82/500, current_lr:0.00018, average psnr: 49.55649  bestpsnr: 49.55649, bestepoch: 82
2025-04-02 16:37:13,527 - LOG - INFO - Epoch: 84/500, current_lr:0.00018, average psnr: 49.00887  bestpsnr: 49.55649, bestepoch: 82
2025-04-02 16:41:09,633 - LOG - INFO - Epoch: 86/500, current_lr:0.00018, average psnr: 49.33797  bestpsnr: 49.55649, bestepoch: 82
2025-04-02 16:45:08,692 - LOG - INFO - Epoch: 88/500, current_lr:0.00018, average psnr: 49.56547  bestpsnr: 49.56547, bestepoch: 88
2025-04-02 16:49:06,804 - LOG - INFO - Epoch: 90/500, current_lr:0.00018, average psnr: 49.50067  bestpsnr: 49.56547, bestepoch: 88
2025-04-02 16:53:05,339 - LOG - INFO - Epoch: 92/500, current_lr:0.00018, average psnr: 49.68722  bestpsnr: 49.68722, bestepoch: 92
2025-04-02 16:57:03,501 - LOG - INFO - Epoch: 94/500, current_lr:0.00018, average psnr: 49.44109  bestpsnr: 49.68722, bestepoch: 92
2025-04-02 17:01:03,116 - LOG - INFO - Epoch: 96/500, current_lr:0.00018, average psnr: 49.66495  bestpsnr: 49.68722, bestepoch: 92
2025-04-02 17:05:02,589 - LOG - INFO - Epoch: 98/500, current_lr:0.00018, average psnr: 49.63311  bestpsnr: 49.68722, bestepoch: 92
2025-04-02 17:09:02,014 - LOG - INFO - Epoch: 100/500, current_lr:0.00018, average psnr: 49.52533  bestpsnr: 49.68722, bestepoch: 92
2025-04-02 17:13:01,814 - LOG - INFO - Epoch: 102/500, current_lr:0.00018, average psnr: 49.64880  bestpsnr: 49.68722, bestepoch: 92
2025-04-02 17:16:59,790 - LOG - INFO - Epoch: 104/500, current_lr:0.00018, average psnr: 49.58725  bestpsnr: 49.68722, bestepoch: 92
2025-04-02 17:21:00,463 - LOG - INFO - Epoch: 106/500, current_lr:0.00018, average psnr: 49.68047  bestpsnr: 49.68722, bestepoch: 92
2025-04-02 17:24:59,020 - LOG - INFO - Epoch: 108/500, current_lr:0.00018, average psnr: 49.65191  bestpsnr: 49.68722, bestepoch: 92
2025-04-02 17:28:59,076 - LOG - INFO - Epoch: 110/500, current_lr:0.00018, average psnr: 49.66597  bestpsnr: 49.68722, bestepoch: 92
2025-04-02 17:32:59,466 - LOG - INFO - Epoch: 112/500, current_lr:0.00018, average psnr: 49.56215  bestpsnr: 49.68722, bestepoch: 92
2025-04-02 17:37:00,023 - LOG - INFO - Epoch: 114/500, current_lr:0.00018, average psnr: 49.77831  bestpsnr: 49.77831, bestepoch: 114
2025-04-02 17:40:59,972 - LOG - INFO - Epoch: 116/500, current_lr:0.00018, average psnr: 49.65753  bestpsnr: 49.77831, bestepoch: 114
2025-04-02 17:45:02,022 - LOG - INFO - Epoch: 118/500, current_lr:0.00018, average psnr: 49.78325  bestpsnr: 49.78325, bestepoch: 118
